Kannada,English
Naanu,I
Neenu,You (informal)
Avanu,He
Avalu,She
Naavu,We
Avaru,They
Idannu,This (object)
Aadudinda,Because
Illa,No / There isn't
Illide,Here
Alli,There
Idara,Of this
Yavudu,Which
Hege,How
Yava,Which
Aadre,But
Mattu,And
Athava,Or
Yavaga,When
Aaga,Then
Modala,First
Dvitiya,Second
Tritiya,Third
Bahudura,Far
Hattira,Near
Munde,In front
Hinde,Behind
Illi,Here
Alliya,There (place)
Bahu,Many
Ellaa,All
Kelavu,Some
Idu,This
Aadu,That
Nimma,Your
Avana,His
Aavala,Her
Namma,Our
Avara,Their
Baruva,Coming
Hoguva,Going
Hatti,City
Talupuva,To sleep
Noduva,To see
Keluvu,To hear
Heluva,To speak
Nudiva,To call
Baruva,Coming
Hogi,Go
Hoguttade,Going
Baruvudilla,Not coming
Nodi,See
Keli,Listen
Maadalu,To do
Bayasuvudu,To be afraid
Preetisuvudu,To love
Kaliyalu,To play
Kelasa,Work
Ruchi,Taste
Chennagide,It is good
Aaguhogu,To come and go
Idakke,For this
Avadhi,Time / Deadline
Samaya,Time
Shakti,Power
Ittu,This much
Illade,Without
Munde,Ahead
Nanthara,Later
Modalneya,First
Hattira,Near
Dura,Distance
Aavashyaka,Necessary
Ananda,Happiness
Santosha,Contentment
Dosha,Fault
Samaya,Time
Vilamba,Delay
Preeti,Love
Pustaka,Book
Halli,Village
Nagara,City
Mane,House
Raste,Road
Shaale,School
Kelasa,Work
Hana,Money
Jnana,Knowledge
Vidye,Education
Nenesu,To remember
Nenesida,Remembered
Keloo,Ask
Baredo,Write
Paatha,Lesson
Nakshatra,Star
